"order-id","order-item-id","purchase-date","payments-date","buyer-email","buyer-name","cpf","buyer-phone-number","sku","upc","product-name","quantity-purchased","currency","item-price","ship-service-level","ship-address-1","ship-address-2","ship-address-3","ship-city","ship-state","ship-postal-code","ship-country"
"XZ1Y2W3","ITEM001","2024-04-30","2024-05-01","epamimondas@example.com","Epamimondas Cícero","123.456.789-00","55 11 98765-4321","SKU123","123307","Nescau","2","BRL","80.00","Express","Rua das Palmeiras",,"Casa 1","São Paulo","SP","01153-000","Brasil"
"XZ1Y2W3","ITEM002","2024-04-30","2024-05-01","epamimondas@example.com","Epamimondas Cícero","123.456.789-00","55 11 98765-4321","SKU657","657307","Shampoo","1","BRL","120.00","Standard","Rua dos Ipês",,"Apartamento 2","Duque de Caxias","RJ","25268-390","Brasil"
"XZ1Y2W3","ITEM003","2024-04-29","2024-04-30","epamimondas@example.com","Epamimondas Cícero","123.456.789-00","55 11 98765-4321","SKU987","987307","Bolo","3","BRL","50.00","Standard","Rua das Flores",,"Casa 3","Belo Horizonte","MG","98765-492","Brasil"
"UV9T8S7","ITEM004","2024-04-30","2024-05-01","zenóbio@example.com","Zenóbio Prudêncio","987.654.321-00","55 21 98765-4321","SKU123","123307","Nescau","1","BRL","25.00","Express","Rua das Amendoeiras",,"Casa 4","Curitiba","PR","65432-428","Brasil"
"UV9T8S7","ITEM005","2024-04-29","2024-04-30","zenóbio@example.com","Zenóbio Prudêncio","987.654.321-00","55 21 98765-4321","SKU987","987307","Bolo","5","BRL","30.00","Standard","Rua das Mangueiras",,"Casa 5","Porto Alegre","RS","12345-428","Brasil"
"AB6C5D4","ITEM006","2024-04-30","2024-05-01","adelmar@example.com","Adelmar Pantaleão","654.321.987-00","55 31 98765-4321","SKU123","123307","Nescau","2","BRL","35.00","Express","Rua das Palmeiras",,"Apartamento 6","Brasília","DF","98765-429","Brasil"
"AB6C5D4","ITEM007","2024-04-30","2024-05-01","adelmar@example.com","Adelmar Pantaleão","654.321.987-00","55 31 98765-4321","SKU657","657307","Shampoo","4","BRL","40.00","Standard","Rua das Oliveiras",,"Casa 7","Salvador","BA","54321-249","Brasil"
"ZYXWVUT","ITEM008","2024-04-29","2024-04-30","pelópidas@example.com","Pelópidas Frota","321.654.987-00","55 41 98765-4321","SKU987","987307","Bolo","2","BRL","45.00","Express","Rua das Jabuticabeiras",,"Casa 8","Recife","PE","67890-426","Brasil"
"ZYXWVUT","ITEM009","2024-04-30","2024-05-01","pelópidas@example.com","Pelópidas Frota","321.654.987-00","55 41 98765-4321","SKU657","657307","Shampoo","1","BRL","55.00","Standard","Rua das Acácias",,"Casa 9","Rio de Janeiro","RJ","21311-280","Brasil"
"QW3E4R5","ITEM010","2024-04-29","2024-04-30","zeferino@example.com","Zeferino Rufino","951.753.468-00","55 51 98765-4321","SKU987","987307","Bolo","3","BRL","60.00","Express","Rua das Laranjeiras",,"Casa 10","Goiânia","GO","73456-249","Brasil"
